apple n.苹果
banana n.香蕉
orange n.橙子
grape n.葡萄
watermelon n.西瓜
strawberry n.草莓
pineapple n.菠萝
peach n.桃子
pear n.梨
cherry n.樱桃
book n.书
pen n.笔
computer n.电脑
phone n.电话
table n.桌子
chair n.椅子
door n.门
window n.窗户
car n.汽车
bicycle n.自行车
happy adj.快乐的
sad adj.悲伤的
angry adj.生气的
excited adj.兴奋的
tired adj.累的
hungry adj.饥饿的
thirsty adj.渴的
cold adj.冷的
hot adj.热的
run v.跑
walk v.走
jump v.跳
swim v.游泳
fly v.飞
drive v.驾驶
ride v.骑
climb v.爬
fall v.落下
rise v.上升
sit v.坐
stand v.站
lie v.躺
sleep v.睡觉
wake v.醒来
eat v.吃
drink v.喝
cook v.烹饪
read v.读
write v.写
draw v.画
sing v.唱歌
dance v.跳舞
play v.玩
work v.工作
study v.学习
teach v.教
learn v.学习
think v.思考
know v.知道
understand v.理解
remember v.记住
forget v.忘记
believe v.相信
hope v.希望
wish v.希望
want v.想要
need v.需要
like v.喜欢
love v.爱
hate v.讨厌
enjoy v.享受
prefer v.更喜欢
choose v.选择
decide v.决定
plan v.计划
try v.尝试
succeed v.成功
fail v.失败
win v.赢
lose v.输
fight v.战斗
talk v.谈话
speak v.说话
say v.说
tell v.告诉
ask v.问
answer v.回答
listen v.听
hear v.听到
see v.看见
watch v.观看
look v.看
find v.找到
search v.搜索
discover v.发现
travel v.旅行
visit v.参观
arrive v.到达
leave v.离开
go v.去
come v.来
return v.返回
stay v.停留
live v.居住
move v.移动
change v.改变
become v.变成
grow v.成长
develop v.发展
improve v.改善
create v.创造
build v.建造
make v.制作
destroy v.破坏
break v.打破
repair v.修理
fix v.修理
keep v.保持
hold v.握住
carry v.携带
bring v.带来
take v.拿走
give v.给予
send v.发送
receive v.接收
buy v.买
sell v.卖
pay v.支付
cost v.花费
worth v.值得
value v.重视
offer v.提供
accept v.接受
refuse v.拒绝
agree v.同意
disagree v.不同意
allow v.允许
forbid v.禁止
prevent v.防止
stop v.停止
start v.开始
continue v.继续
finish v.完成
end v.结束
complete v.完成
achieve v.实现
reach v.到达
enter v.进入
exit v.退出
escape v.逃跑
avoid v.避免
face v.面对
meet v.遇见
greet v.问候
welcome v.欢迎
introduce v.介绍
show v.展示
display v.展示
explain v.解释
describe v.描述
define v.定义
name v.命名
call v.称呼
mark v.标记
sign v.签名
write v.写
record v.记录
report v.报告
announce v.宣布
declare v.宣布
state v.陈述
claim v.声称
argue v.争论
discuss v.讨论
consider v.考虑
think v.思考
reflect v.反思
imagine v.想象
dream v.做梦
plan v.计划
design v.设计
organize v.组织
prepare v.准备
get ready v.准备
set up v.设置
establish v.建立
found v.建立
create v.创造
invent v.发明
develop v.发展
adapt v.适应
adjust v.调整
modify v.修改
change v.改变
switch v.切换
exchange v.交换
replace v.替换
substitute v.替代
transfer v.转移
move v.移动
shift v.移动
transport v.运输
carry v.携带
convey v.传达
transmit v.传输
communicate v.交流
connect v.连接
link v.连接
join v.加入
unite v.联合
combine v.结合
merge v.合并
mix v.混合
stir v.搅拌
shake v.摇晃
wave v.挥手
swing v.摇摆
rock v.摇摆
roll v.滚动
slide v.滑动
glide v.滑行
float v.漂浮
flow v.流动
pour v.倾倒
spill v.溢出
splash v.溅起
drip v.滴落
drop v.落下
fall v.落下
descend v.下降
sink v.下沉
dive v.潜水
jump v.跳
leap v.跳跃
hop v.跳跃
skip v.跳过
bounce v.弹跳
spring v.弹起
dash v.猛冲
rush v.冲
hurry v.匆忙
speed v.加速
slow v.减慢
delay v.延迟
postpone v.推迟
pause v.暂停
stop v.停止
halt v.停止
cease v.停止
end v.结束
finish v.完成
conclude v.结束
terminate v.终止
close v.关闭
shut v.关闭
open v.打开
start v.开始
begin v.开始
commence v.开始
initiate v.发起
launch v.启动
embark v.开始
set out v.出发
depart v.离开
leave v.离开
exit v.退出
withdraw v.撤退
retreat v.撤退
retire v.退休
quit v.辞职
resign v.辞职
abandon v.放弃
reject v.拒绝
decline v.拒绝
refuse v.拒绝
deny v.否认
disallow v.不允许
forbid v.禁止
prohibit v.禁止
ban v.禁止
block v.阻止
prevent v.防止
stop v.停止
hinder v.阻碍
impede v.妨碍
obstruct v.阻碍
inhibit v.抑制
restrain v.限制
restrict v.限制
limit v.限制
confine v.限制
constrain v.约束
curb v.控制
check v.检查
control v.控制
govern v.管理
rule v.统治
command v.命令
order v.命令
direct v.指导
guide v.引导
lead v.领导
conduct v.进行
manage v.管理
supervise v.监督
monitor v.监控
watch v.观察
observe v.观察
examine v.检查
inspect v.检查
investigate v.调查
research v.研究
study v.学习
analyze v.分析
evaluate v.评估
assess v.评估
judge v.判断
determine v.确定
decide v.决定
conclude v.得出结论
infer v.推断
guess v.猜测
estimate v.估计
calculate v.计算
compute v.计算
figure v.计算
count v.计算
number v.编号
list v.列出
name v.命名
identify v.识别
recognize v.认出
distinguish v.区分
differentiate v.区分
perceive v.感知
detect v.察觉
discover v.发现
find v.找到
locate v.定位
search v.搜索
seek v.寻找
hunt v.搜寻
pursue v.追求
chase v.追逐
follow v.跟随
track v.跟踪
trace v.追踪
capture v.捕获
catch v.抓住
seize v.抓住
grab v.抓取
grasp v.抓住
hold v.握住
keep v.保持
retain v.保留
maintain v.维持
preserve v.保存
protect v.保护
defend v.防御
guard v.守卫
shelter v.庇护
house v.容纳
accommodate v.容纳
lodge v.住宿
host v.招待
entertain v.娱乐
amuse v.娱乐
delight v.使高兴
please v.使高兴
satisfy v.使满意
gratify v.使满足
content v.使满足
appease v.安抚
pacify v.安抚
calm v.使平静
soothe v.安慰
comfort v.安慰
console v.安慰
relieve v.缓解
alleviate v.减轻
ease v.减轻
reduce v.减少
decrease v.减少
diminish v.减少
lessen v.减少
lower v.降低
drop v.下降
fall v.落下
decline v.下降
deteriorate v.恶化
worsen v.恶化
decay v.腐烂
rot v.腐烂
spoil v. spoil
ruin v.毁坏
damage v.损坏
harm v.伤害
hurt v.伤害
injure v.伤害
wound v.使受伤
pain v.使疼痛
ache v.疼痛
suffer v.遭受
endure v.忍受
bear v.忍受
tolerate v.容忍
accept v.接受
receive v.接收
take v.拿
get v.得到
obtain v.获得
acquire v.获得
gain v.获得
earn v.赚取
win v.赢
achieve v.实现
accomplish v.完成
attain v.达到
reach v.到达
arrive v.到达
come v.来
approach v.接近
near v.靠近
advance v.前进
proceed v.继续
progress v.进步
move forward v.前进
go ahead v.前进
continue v.继续
carry on v.继续
proceed v.进行
advance v.推进
develop v.发展
evolve v.进化
grow v.成长
expand v.扩展
extend v.延伸
stretch v.伸展
spread v.传播
distribute v.分发
disperse v.分散
scatter v.散开
separate v.分开
divide v.分割
split v.分开
break v.打破
cut v.切割
slice v.切片
chop v.剁
hack v.砍
slash v.砍
stab v.刺
pierce v.刺穿
penetrate v.穿透
enter v.进入
invade v.入侵
intrude v.侵入
trespass v.侵入
violate v.违反
breach v.违反
break v.违反
offend v.冒犯
insult v.侮辱
abuse v.虐待
mistreat v.虐待
harm v.伤害
damage v.损坏
injure v.伤害
wound v.使受伤
hurt v.伤害
pain v.使疼痛
ache v.疼痛
suffer v.遭受
endure v.忍受
bear v.忍受
tolerate v.容忍
stand v.忍受
accept v.接受
receive v.接收
take v.拿
get v.得到
obtain v.获得
acquire v.获得
gain v.获得
earn v.赚取
win v.赢
achieve v.实现
accomplish v.完成
attain v.达到
reach v.到达
arrive v.到达
come v.来
approach v.接近
near v.靠近
advance v.前进
proceed v.继续
progress v.进步
move forward v.前进
